Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE         LAST SEEN   TYPE      REASON                                   OBJECT                                                         MESSAGE
kube-system       60m         Normal    ScalingReplicaSet                        deployment/konnectivity-agent                                  Scaled down replica set konnectivity-agent-78dd94f664 from 2 to 1
kube-system       60m         Normal    Started                                  pod/kube-dns-autoscaler-75b8d4c7fc-m5hbt                       Container started
kube-system       60m         Normal    Pulled                                   pod/konnectivity-agent-autoscaler-7fdbfc9d7-zxdqm              Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/cluster-proportional-autoscaler:v1.10.3-gke.2@sha256:608476c370ab6d23cf62b3cb470b0480c446ff43fc6fa48959aa5d90f235722e" in 2.044s (8.291s including waiting). Image size: 14214756 bytes.
kube-system       60m         Normal    ScalingReplicaSet                        deployment/kube-dns                                            Scaled down replica set kube-dns-586c9659dd from 2 to 1
kube-system       60m         Normal    Created                                  pod/konnectivity-agent-autoscaler-7fdbfc9d7-zxdqm              Container created
kube-system       60m         Normal    Started                                  pod/konnectivity-agent-autoscaler-7fdbfc9d7-zxdqm              Container started
kube-system       60m         Normal    SuccessfulDelete                         replicaset/kube-dns-586c9659dd                                 Deleted pod: kube-dns-586c9659dd-97xh9
kube-system       60m         Normal    Pulled                                   pod/kube-dns-autoscaler-75b8d4c7fc-m5hbt                       Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/cluster-proportional-autoscaler:v1.10.3-gke.2@sha256:608476c370ab6d23cf62b3cb470b0480c446ff43fc6fa48959aa5d90f235722e" in 889ms (8.184s including waiting). Image size: 14214756 bytes.
kube-system       60m         Normal    Created                                  pod/kube-dns-autoscaler-75b8d4c7fc-m5hbt                       Container created
kube-system       60m         Normal    SuccessfulDelete                         replicaset/konnectivity-agent-78dd94f664                       Deleted pod: konnectivity-agent-78dd94f664-pbdqc
kube-system       60m         Normal    Started                                  pod/metrics-server-v1.35.1-57ff9d497b-wljmk                    Container started
kube-system       60m         Normal    Created                                  pod/metrics-server-v1.35.1-57ff9d497b-wljmk                    Container created
gmp-system        60m         Normal    Pulled                                   pod/gmp-operator-768cf6fcdd-d9wmh                              Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/prometheus-engine/operator:v0.18.0-gke.2@sha256:c1096249d080e6763d41980b25cf237fd04091ba86abe7075f1e36b33b6fc263" in 2.264s (10.335s including waiting). Image size: 38625242 bytes.
kube-system       60m         Normal    Pulled                                   pod/metrics-server-v1.35.1-57ff9d497b-wljmk                    Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/metrics-server:v0.8.0-gke.20@sha256:8c67aaa15ed51ed2ad97d6c7de0778696e95218f80af728e35b4c1c4e5659ccb" in 1.706s (9.847s including waiting). Image size: 22694923 bytes.
kube-system       60m         Normal    Pulled                                   pod/konnectivity-agent-78dd94f664-d6gvw                        Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976" in 90ms (9.842s including waiting). Image size: 2887395 bytes.
kube-system       60m         Normal    Created                                  pod/konnectivity-agent-78dd94f664-d6gvw                        Container created
kube-system       60m         Normal    Started                                  pod/konnectivity-agent-78dd94f664-d6gvw                        Container started
kube-system       60m         Normal    Created                                  pod/l7-default-backend-64955c88df-9nqdp                        Container created
gmp-system        60m         Normal    Created                                  pod/gmp-operator-768cf6fcdd-d9wmh                              Container created
kube-system       60m         Normal    Pulled                                   pod/l7-default-backend-64955c88df-9nqdp                        Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/ingress-gce-404-server-with-metrics:v1.38.6@sha256:33ba5db7cd2975bf956b6e1b6e2e32f51be424c1e29abebd60d441510b409d62" in 1.762s (11.604s including waiting). Image size: 7595912 bytes.
kube-system       60m         Normal    Started                                  pod/kube-dns-586c9659dd-vd952                                  Container started
kube-system       60m         Normal    Pulling                                  pod/kube-dns-586c9659dd-vd952                                  Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-dnsmasq-nanny:1.26.8-gke.3@sha256:b5a2a5d776d611873573087f2caae2655122eb6354ca33856358331a1dcb9f2a"
kube-system       60m         Normal    Started                                  pod/l7-default-backend-64955c88df-9nqdp                        Container started
kube-system       60m         Normal    Pulling                                  pod/konnectivity-agent-78dd94f664-d6gvw                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/proxy-agent:v0.34.0-gke.5@sha256:497745796db269a0e2d5257c4376bf8c64269e46119ab9b110b67592ef88372c"
kube-system       60m         Normal    Pulled                                   pod/kube-dns-586c9659dd-vd952                                  Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-kube-dns:1.26.8-gke.3@sha256:e349d527bdfe0dfd02c26b38a94311415839ea30f48ca837d08ba5d9383f77cd" in 284ms (10.319s including waiting). Image size: 30596335 bytes.
gmp-system        60m         Normal    Started                                  pod/gmp-operator-768cf6fcdd-d9wmh                              Container started
kube-system       60m         Normal    Pulled                                   pod/metrics-server-v1.35.1-d8db5466d-tfgzv                     Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/metrics-server:v0.8.0-gke.20@sha256:8c67aaa15ed51ed2ad97d6c7de0778696e95218f80af728e35b4c1c4e5659ccb" in 1.404s (11.615s including waiting). Image size: 22694923 bytes.
kube-system       60m         Normal    Created                                  pod/metrics-server-v1.35.1-d8db5466d-tfgzv                     Container created
kube-system       60m         Normal    Created                                  pod/kube-dns-586c9659dd-vd952                                  Container created
kube-system       60m         Normal    Pulled                                   pod/fluentbit-gke-dj9lr                                        Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit-gke-exporter:v0.27.17-gke.20@sha256:67269cb89dbf9cf4e76e199a634c178eec76e74ae45694e8000893f7cae6179e" in 1.69s (10.806s including waiting). Image size: 36248865 bytes.
kube-system       60m         Normal    Started                                  pod/metrics-server-v1.35.1-d8db5466d-tfgzv                     Container started
kube-system       60m         Normal    Created                                  pod/fluentbit-gke-dj9lr                                        Container created
kube-system       60m         Normal    Pulled                                   pod/event-exporter-gke-54fb5f8f4c-z9jxx                        Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/event-exporter:event-exporter-v0.5.12-gke.6@sha256:addfe2a01f6689538a009c9b4757dee9aedf66aa05bde92b63f04a42bb85f368" in 1.789s (11.924s including waiting). Image size: 30897983 bytes.
kube-system       60m         Normal    Created                                  pod/event-exporter-gke-54fb5f8f4c-z9jxx                        Container created
kube-system       60m         Normal    Started                                  pod/fluentbit-gke-dj9lr                                        Container started
kube-system       60m         Normal    Pulling                                  pod/fluentbit-gke-dj9lr                                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260323_2300_RC0@sha256:05f11aa4dc486ad39b584546394ce895d23d141262f94017b3750f1836928f3e"
kube-system       60m         Normal    Pulled                                   pod/pdcsi-node-8w5sh                                           Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/csi-node-driver-registrar:v2.15.0-gke.26@sha256:f63211217e586411ba3703c247c1ef89154e5f86e8cbb2d44846d59d9de049a1" in 968ms (9.694s including waiting). Image size: 14444722 bytes.
kube-system       60m         Normal    Created                                  pod/pdcsi-node-8w5sh                                           Container created
kube-system       60m         Normal    Started                                  pod/pdcsi-node-8w5sh                                           Container started
kube-system       60m         Normal    Pulling                                  pod/event-exporter-gke-54fb5f8f4c-z9jxx                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/prometheus-to-sd:v0.12.4-gke.12@sha256:4ab422d9f7e9acffe18a43fc3ce910d37e04c38bf257437fdc09cbf33f3d7874"
kube-system       60m         Normal    Started                                  pod/event-exporter-gke-54fb5f8f4c-z9jxx                        Container started
kube-system       60m         Normal    Started                                  pod/konnectivity-agent-78dd94f664-pbdqc                        Container started
kube-system       60m         Normal    Pulling                                  pod/konnectivity-agent-78dd94f664-pbdqc                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260121_2300_RC0@sha256:3cbd2b897c681db94832b4e03e58e4e2168666259507ff8fb8ae43a01a3b5f5d"
kube-system       60m         Normal    Created                                  pod/konnectivity-agent-78dd94f664-pbdqc                        Container created
kube-system       60m         Normal    Pulled                                   pod/konnectivity-agent-78dd94f664-pbdqc                        Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/proxy-agent:v0.34.0-gke.5@sha256:497745796db269a0e2d5257c4376bf8c64269e46119ab9b110b67592ef88372c" in 1.597s (10.218s including waiting). Image size: 29880226 bytes.
gke-managed-cim   60m         Normal    Pulled                                   pod/kube-state-metrics-0                                       Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/kube-state-metrics:v2.14.0-gke.51@sha256:a346b3c4a95bf91641ed3facf8957fbb98823f92916d1cca356ad5c021cb1a4e" in 1.172s (8.69s including waiting). Image size: 15876892 bytes.
gmp-system        60m         Warning   FailedCreate                             daemonset/collector                                            Error creating: Internal error occurred: failed calling webhook "mpod.kb.io": failed to call webhook: Post "https://kueue-webhook-service.kueue-system.svc:443/mutate--v1-pod?timeout=10s": No agent available
kube-system       60m         Normal    Pulled                                   pod/konnectivity-agent-78dd94f664-d6gvw                        Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/proxy-agent:v0.34.0-gke.5@sha256:497745796db269a0e2d5257c4376bf8c64269e46119ab9b110b67592ef88372c" in 191ms (3.75s including waiting). Image size: 29880226 bytes.
kube-system       60m         Normal    Started                                  pod/konnectivity-agent-78dd94f664-d6gvw                        Container started
gke-managed-cim   60m         Normal    Started                                  pod/kube-state-metrics-0                                       Container started
