Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                          MESSAGE
kube-system                   54m         Normal    Scheduled                                pod/metrics-server-v1.33.0-7cb947b96b-nr7bh                     Successfully assigned kube-system/metrics-server-v1.33.0-7cb947b96b-nr7bh to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   54m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-7cb947b96b-nr7bh                     no nodes available to schedule pods
kube-system                   55m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-7cb947b96b-nr7bh                     no nodes available to schedule pods
kube-system                   47m         Normal    Scheduled                                pod/metrics-server-v1.33.0-7cb947b96b-667zx                     Successfully assigned kube-system/metrics-server-v1.33.0-7cb947b96b-667zx to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   47m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-7cb947b96b-667zx                     no nodes available to schedule pods
default                       43m         Normal    Scheduled                                pod/my-job-5752-0-lpbrp                                         Successfully assigned default/my-job-5752-0-lpbrp to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
kube-system                   48m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-7cb947b96b-667zx                     no nodes available to schedule pods
kube-system                   53m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-7cb947b96b-667zx                     0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   46m         Normal    Scheduled                                pod/maintenance-handler-tvphd                                   Successfully assigned kube-system/maintenance-handler-tvphd to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds
kube-system                   46m         Normal    Scheduled                                pod/maintenance-handler-kjm4m                                   Successfully assigned kube-system/maintenance-handler-kjm4m to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
kube-system                   54m         Warning   FailedScheduling                         pod/antrea-controller-horizontal-autoscaler-7fb7f46fbd-6bcrt    no nodes available to schedule pods
kube-system                   54m         Normal    Scheduled                                pod/antrea-controller-horizontal-autoscaler-7fb7f46fbd-6bcrt    Successfully assigned kube-system/antrea-controller-horizontal-autoscaler-7fb7f46fbd-6bcrt to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
default                       42m         Normal    Scheduled                                pod/nccl-test-host-1                                            Successfully assigned default/nccl-test-host-1 to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
kube-system                   53m         Warning   FailedScheduling                         pod/antrea-controller-horizontal-autoscaler-7fb7f46fbd-6x842    0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   47m         Normal    Scheduled                                pod/l7-default-backend-b5b9d8d6f-vpc7p                          Successfully assigned kube-system/l7-default-backend-b5b9d8d6f-vpc7p to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   47m         Warning   FailedScheduling                         pod/l7-default-backend-b5b9d8d6f-vpc7p                          no nodes available to schedule pods
kube-system                   48m         Warning   FailedScheduling                         pod/l7-default-backend-b5b9d8d6f-vpc7p                          no nodes available to schedule pods
kube-system                   54m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-854c9c74f4-jd9mz                     no nodes available to schedule pods
kube-system                   46m         Normal    Scheduled                                pod/gke-metrics-agent-x225v                                     Successfully assigned kube-system/gke-metrics-agent-x225v to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
kube-system                   54m         Normal    Scheduled                                pod/anetd-lclx5                                                 Successfully assigned kube-system/anetd-lclx5 to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
kube-system                   55m         Warning   FailedScheduling                         pod/l7-default-backend-b5b9d8d6f-nkt6j                          no nodes available to schedule pods
kube-system                   48m         Warning   FailedScheduling                         pod/antrea-controller-horizontal-autoscaler-7fb7f46fbd-6x842    no nodes available to schedule pods
kube-system                   54m         Warning   FailedScheduling                         pod/event-exporter-gke-588455645b-fsrzx                         no nodes available to schedule pods
default                       42m         Normal    Scheduled                                pod/nccl-test-host-2                                            Successfully assigned default/nccl-test-host-2 to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds
kube-system                   55m         Warning   FailedScheduling                         pod/event-exporter-gke-588455645b-fsrzx                         no nodes available to schedule pods
kube-system                   47m         Warning   FailedScheduling                         pod/antrea-controller-horizontal-autoscaler-7fb7f46fbd-6x842    no nodes available to schedule pods
kube-system                   47m         Normal    Scheduled                                pod/antrea-controller-horizontal-autoscaler-7fb7f46fbd-6x842    Successfully assigned kube-system/antrea-controller-horizontal-autoscaler-7fb7f46fbd-6x842 to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   47m         Normal    Scheduled                                pod/kube-dns-autoscaler-5b8b5b9848-zmp7d                        Successfully assigned kube-system/kube-dns-autoscaler-5b8b5b9848-zmp7d to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   47m         Warning   FailedScheduling                         pod/kube-dns-autoscaler-5b8b5b9848-zmp7d                        no nodes available to schedule pods
